NSEcode,BSEcode,ISIN,full_name,industry_name,industry_id,sector_name,sector_id,TL_SCORE
SHIVAAGRO,530433,INE960E01019,Shiva Global Agro Industries Ltd.,Fertilizers,42,Fertilizers,27,
SIDDHA,530439,INE140C01012,Siddha Ventures Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
KIRANSY-B,530443,INE293D01017,Kiran Syntex Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
SUMERUIND,530445,INE764B01029,Sumeru Industries Ltd.,Consulting Services,28,Commercial Services & Supplies,25,
RUNGTAIR,530449,INE347C01013,Rungta Irrigation Ltd.,Plastic Products,101,General Industrials,24,48.0077769444444442115127458237111568450927734375
CINERAD,530457,INE959B01017,Cinerad Communications Ltd.,Movies & Entertainment,79,Media,3,
VALSONQ,530459,INE808A01018,Valson Industries Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
SABOOSOD,530461,INE440C01016,Saboo Sodium Chloro Ltd.,Other Food Products,88,Food Beverages & Tobacco,4,73.8355563888888895007767132483422756195068359375
GSLSEC,530469,INE721D01017,GSL Securities Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
TINNARUBR,530475,INE015C01016,Tinna Rubber and Infrastructure Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,56.46583416666667432082249433733522891998291015625
VIKRAMTH,530477,INE337E01010,Vikram Thermo (India) Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,56.9861102777777688288551871664822101593017578125
AKCAPIT,530499,INE701G01012,AK Capital Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,70.2594452777777718210927559994161128997802734375
VIRAT,530521,INE467D01017,Virat Industries Ltd.,Other Apparels & Accessories,85,Textiles Apparels & Accessories,8,
TERAI,530533,INE390D01011,Terai Tea Company Ltd.,Tea & Coffee,114,Food Beverages & Tobacco,4,67.93749916666666877063107676804065704345703125
MANRAJH,530537,INE948I01015,Manraj Housing Finance Ltd.,Housing Finance ,60,Banking and Finance,21,
COSCO,530545,INE949B01018,Cosco (India) Ltd.,Household Products,58,Consumer Durables,23,75.8163888888888806150134769268333911895751953125
SSLFINANCE,530565,INE149B01015,Popees Cares Ltd.,Internet Software & Services,66,Software & Services,1,
EXPLICITFIN,530571,INE335G01019,Explicit Finance Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
LADDERUP,530577,INE519D01015,Ladderup Finance Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
UYFINCORP,530579,INE152C01025,U Y Fincorp Ltd.,Finance (including NBFCs),44,Banking and Finance,21,64.67166666666668106699944473803043365478515625
EKAMLEA,530581,INE906L01025,Ekam Leasing & Finance Company Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
SWASTIKA,530585,INE691C01022,Swastika Investmart Ltd.,Capital Markets,126,Banking and Finance,21,63.524166666666673108920804224908351898193359375
PRIMAPLA,530589,INE573B01016,Prima Plastics Ltd.,Plastic Products,101,General Industrials,24,67.77277777777777600931585766375064849853515625
TELECANOR,530595,INE381G01013,TeleCanor Global Ltd.,IT Software Products,72,Software & Services,1,
JAGSONFI,530601,INE582C01015,Jagsonpal Finance & Leasing Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
CARNATIN,530609,INE081B01010,Carnation Industries Ltd.,Other Industrial Products,90,General Industrials,24,
STURDY,530611,INE134F01026,Sturdy Industries Ltd.,Plastic Products,101,General Industrials,24,
GARGFUR,530615,INE194E01015,Garg Furnace Ltd.,Iron & Steel/Interm.Products,68,Metals & Mining,13,44.56916583333332937399973161518573760986328125
SAMPRE,530617,INE375C01014,Sampre Nutritions Ltd.,Packaged Foods,95,FMCG,7,
AKARTOOL,530621,INE864E01021,Akar Auto Industries Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,53.7563880555555471119077992625534534454345703125
VIPULDYE,530627,INE834D01018,Vipul Organics Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,62.9419452777777763685662648640573024749755859375
ECORECO,530643,INE316A01038,Eco Recycling Ltd.,Electronic Components,40,Commercial Services & Supplies,25,55.60361027777776854463809286244213581085205078125
ZENITHHE,530665,INE812B01026,Zenith Healthcare Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,
YORKEXP,530675,INE057Q01018,York Exports Ltd.,Other Apparels & Accessories,85,Textiles Apparels & Accessories,8,
SUPREME,530677,INE822E01011,Supreme Holdings & Hospitality (India) Ltd.,Realty,103,Realty,18,37.3250008333333340715398662723600864410400390625
PITHP,530683,INE747D01012,Pithampur Poly Products Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,
LYKISLTD,530689,INE624M01014,Lykis Ltd.,Personal Products,97,FMCG,7,51.73138805555554853299327078275382518768310546875
PRIMEPRO,530695,INE233C01023,Prime Property Development Corporation Ltd.,Realty,103,Realty,18,57.2763880555555573437231942079961299896240234375
NEELKATEC,530697,INE546F01013,Zenlabs Ethica Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
FLORATX,530705,INE161F01011,Flora Textiles Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
GOWRALE,530709,INE225G01012,Gowra Leasing & Finance Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
JAGANLAM,530711,INE144C01014,Jagan Lamps Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,53.240834166666672899737022817134857177734375
AJEL,530713,INE229B01015,Ajel Ltd.,IT Consulting & Software,70,Software & Services,1,
ASITCFIN,530723,INE041B01014,Asit C Mehta Financial Services Ltd.,Capital Markets,126,Banking and Finance,21,27.41472222222222399068414233624935150146484375
NOVAPUB,530733,INE900O01014,Encode Packaging India Ltd.,Publishing,102,Commercial Services & Supplies,25,
SUPERBAK,530735,INE897A01011,Super Bakers (India) Ltd.,Packaged Foods,95,FMCG,7,
INDOASIAF,530747,INE807A01010,Challani Capital Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
DEVKI,530765,INE510B01018,Agarwal Fortune India Ltd.,Other Industrial Products,90,General Industrials,24,
KLGCAP,530771,INE929C01018,KLG Capital Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
DYNAMICP,530779,INE118C01018,Dynamic Portfolio Management & Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
INLANPR,530787,INE055O01033,Inland Printers Ltd.,Commodity Printing/Stationery,23,Commercial Services & Supplies,25,
CEEJAY,530789,INE358C01010,Ceejay Finance Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
SUNCITYSY,530795,INE584D01019,Suncity Synthetics Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
SHGANEL,530797,INE400N01017,Shree Ganesh Elastoplast Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
ANNAINFRA,530799,INE336D01014,Anna Infrastructures Ltd.,Realty,103,Realty,18,
BNRUDY,530809,INE355C01016,BNR Udyog Ltd.,Other Financial Services,87,Banking and Finance,21,
SSPDL,530821,INE838C01011,SSPDL Ltd.,Realty,103,Realty,18,
DAIKAFFI,530825,INE789B01018,Daikaffil Chemicals India Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,
CILSEC,530829,INE830A01012,CIL Securities Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
CLIOINFO,530839,INE011B01017,CLIO Infotech Ltd.,IT Software Products,72,Software & Services,1,
CUPID,530843,INE509F01029,Cupid Ltd.,Personal Products,97,FMCG,7,41.581388055555549954078742302954196929931640625
